Sample Name,Group,Assay,Target Name,Reporter,AverageCT,GAPDH,dCT,AverageControl,ddCT
4-D3,DiHOME,P1A4,Muc5ac,SYBR,27.92666626,23.15299988,4.773666382,7.342933528,-2.569267146
4-D4,DiHOME,P1A4,Muc5ac,SYBR,31.45233409,25.01166662,6.44066747,7.342933528,-0.902266057
4-D5,DiHOME,P1A4,Muc5ac,SYBR,27.89666684,22.12299983,5.773667018,7.342933528,-1.56926651
4-P1,PBS,P1A4,Muc5ac,SYBR,27.48266665,21.58366648,5.899000168,7.342933528,-1.44393336
4-P2,PBS,P1A4,Muc5ac,SYBR,31.46333377,23.66899999,7.794333776,7.342933528,0.451400248
4-P3,PBS,P1A4,Muc5ac,SYBR,28.71000036,23.23666636,5.473333995,7.342933528,-1.869599533
4-P4,PBS,P1A4,Muc5ac,SYBR,31.62866592,22.56699944,9.061666489,7.342933528,1.718732961
4-P5,PBS,P1A4,Muc5ac,SYBR,29.96500015,21.47866694,8.486333211,7.342933528,1.143399684
5-P1,PBS,P1A5,CCL11,SYBR,27.79166667,19.97200012,7.819666545,6.593400065,1.226266479
5-P2,PBS,P1A5,CCL11,SYBR,26.95033264,20.13133303,6.818999608,6.593400065,0.225599543
5-P3,PBS,P1A5,CCL11,SYBR,27.39066696,19.34100024,8.049666723,6.593400065,1.456266658
5-P4,PBS,P1A5,CCL11,SYBR,26.43166669,19.51733271,6.914333979,6.593400065,0.320933914
5-P5,PBS,P1A5,CCL11,SYBR,23.10999997,19.7456665,3.364333471,6.593400065,-3.229066594
5-V1,CRA,P1A5,CCL11,SYBR,21.63500023,19.97333336,1.66166687,6.593400065,-4.931733195
5-V2,CRA,P1A5,CCL11,SYBR,21.95366669,20.80133375,1.152332942,6.593400065,-5.441067123
5-V3,CRA,P1A5,CCL11,SYBR,22.59866714,21.17399979,1.424667358,6.593400065,-5.168732707
5-V4,CRA,P1A5,CCL11,SYBR,23.33699989,23.0120004,0.324999491,6.593400065,-6.268400574
5-V5,CRA,P1A5,CCL11,SYBR,21.62533315,20.51299985,1.112333298,6.593400065,-5.481066767
5-D1,DiHOME,P1A5,CCL11,SYBR,25.83100001,21.60933367,4.221666336,6.593400065,-2.371733729
5-D2,DiHOME,P1A5,CCL11,SYBR,21.79600016,22.15799967,-0.361999512,6.593400065,-6.955399577
5-D4,DiHOME,P1A5,CCL11,SYBR,23.73400052,20.87366676,2.860333761,6.593400065,-3.733066305
5-P1,PBS,P1A5,Muc5ac,SYBR,29.71766726,19.97200012,9.74566714,9.450266774,0.295400365
5-P2,PBS,P1A5,Muc5ac,SYBR,29.87666639,20.13133303,9.745333354,9.450266774,0.295066579
5-P3,PBS,P1A5,Muc5ac,SYBR,29.5126667,19.34100024,10.17166646,9.450266774,0.721399689
5-P4,PBS,P1A5,Muc5ac,SYBR,29.70899963,19.51733271,10.19166692,9.450266774,0.741400146
5-P5,PBS,P1A5,Muc5ac,SYBR,27.1426665,19.7456665,7.396999995,9.450266774,-2.05326678
5-V1,CRA,P1A5,Muc5ac,SYBR,26.14833323,19.97333336,6.174999873,9.450266774,-3.275266902
5-V2,CRA,P1A5,Muc5ac,SYBR,28.77199999,20.80133375,7.97066625,9.450266774,-1.479600525
5-V3,CRA,P1A5,Muc5ac,SYBR,28.79433314,21.17399979,7.620333354,9.450266774,-1.829933421
5-V4,CRA,P1A5,Muc5ac,SYBR,29.38099988,23.0120004,6.368999481,9.450266774,-3.081267293
5-V5,CRA,P1A5,Muc5ac,SYBR,25.93333371,20.51299985,5.420333862,9.450266774,-4.029932912
5-D1,DiHOME,P1A5,Muc5ac,SYBR,31.02300008,21.60933367,9.413666407,9.450266774,-0.036600367
5-D2,DiHOME,P1A5,Muc5ac,SYBR,29.3163325,22.15799967,7.158332825,9.450266774,-2.29193395
5-D4,DiHOME,P1A5,Muc5ac,SYBR,27.96066666,20.87366676,7.086999893,9.450266774,-2.363266881
