"Well","Group","Chem","Dose","Treatment","Fluorescence","Flum","Rlum","Background.Fluor","Background.Flum","Background.Rlum","CorrFluor","CorrFlum","CorrRlum","ExperimentalR","PositiveR","NegativeR","RRR","Flum.Live","FLumLive.R","Flum.R","Ratio.NoTF","FlumL.NoTF","Assay"
"B8","Test","GW1929",0.05,"0.05 uM 1929",31706,4387,2435,90,645.4,690.2,31616,3741.6,1744.8,0.118345142,0.463272796,0.004699895,0.24782373,0.138364978,0.165878123,1.80164271,1.82372901,8.414734736,"16"
"C8","Test","GW1929",0.05,"0.05 uM 1929",28699,4736,2792,90,645.4,690.2,28609,4090.6,2101.8,0.142982977,0.463272796,0.004699895,0.301550925,0.165023172,0.197837158,1.696275072,1.717069672,10.03596598,"16"
"D8","Test","GW1929",0.05,"0.05 uM 1929",25226,5046,3877,90,645.4,690.2,25136,4400.6,3186.8,0.17507161,0.463272796,0.004699895,0.371525913,0.200031713,0.239806962,1.301521795,1.317477123,12.1650278,"16"
"D7","Test","GW1929",0.1,"0.1 uM 1929",20016,2920,1665,90,645.4,690.2,19926,2274.6,974.8,0.114152364,0.463272796,0.004699895,0.23868063,0.145883293,0.174891415,1.753753754,1.775252984,8.871964798,"16"
"C7","Test","GW1929",0.1,"0.1 uM 1929",23382,4037,2854,90,645.4,690.2,23292,3391.6,2163.8,0.145612227,0.463272796,0.004699895,0.307284474,0.172654178,0.206985549,1.414505957,1.431846355,10.50004944,"16"
"B6","Test","GW1929",0.5,"0.5 uM 1929",26438,1574,336,90,645.4,690.2,26348,928.6,-354.2,0.035243662,0.463272796,0.004699895,0.066606131,0.059535517,0.07137384,4.68452381,4.741951288,3.620681981,"16"
"C6","Test","GW1929",0.5,"0.5 uM 1929",22407,2527,857,90,645.4,690.2,22317,1881.6,166.8,0.084312408,0.463272796,0.004699895,0.173609283,0.112777257,0.135202419,2.94865811,2.984805647,6.858604792,"16"
"D6","Test","GW1929",0.5,"0.5 uM 1929",29788,3672,2369,90,645.4,690.2,29698,3026.6,1678.8,0.101912587,0.463272796,0.004699895,0.211989613,0.123271116,0.147782926,1.550021106,1.569022782,7.496794016,"16"
"B5","Test","GW1929",1,"1 uM 1929",28599,5736,2687,90,645.4,690.2,28509,5090.6,1996.8,0.178561156,0.463272796,0.004699895,0.379135489,0.200566453,0.240448032,2.134722739,2.16089226,12.19754828,"16"
"D5","Test","GW1929",1,"1 uM 1929",31665,8443,3053,90,645.4,690.2,31575,7797.6,2362.8,0.246954869,0.463272796,0.004699895,0.528280179,0.266635086,0.319654064,2.76547658,2.799378499,16.21554492,"16"
